CPF,Date,prod-id,Qtde
14566178854,2019-11-04,101,1
14566178854,2019-11-11,101,1
14566178854,2019-11-18,101,1
14566178854,2019-11-25,101,1
14566178854,2019-12-02,101,1
14566178854,2019-12-09,101,1
14566178854,2019-12-16,101,1
14566178854,2019-12-23,101,1
14566178854,2019-12-30,101,1
14566178854,2020-01-06,101,1
14566178854,2020-01-13,101,1
14566178854,2020-01-20,101,1
14566178854,2020-01-27,101,1
14566178854,2020-02-03,101,1
14566178854,2020-02-10,101,1
14566178854,2020-02-17,101,1
14566178854,2020-02-24,101,1
14566178854,2020-03-02,101,1
14566178854,2020-03-09,101,1
14566178854,2020-03-16,101,1
14566178854,2020-03-23,101,1
14566178854,2020-03-30,101,1
14566178854,2020-04-06,101,1
14566178854,2020-04-13,101,1
14566178854,2019-11-04,102,2
14566178854,2019-11-18,102,2
14566178854,2019-12-02,102,2
14566178854,2019-12-16,102,2
14566178854,2019-12-30,102,2
14566178854,2020-01-13,102,2
14566178854,2020-01-27,102,2
14566178854,2020-02-10,102,2
14566178854,2020-02-24,102,2
14566178854,2020-03-09,102,2
14566178854,2020-03-23,102,2
14566178854,2020-04-06,102,2
14566178854,2019-11-04,104,4
14566178854,2019-12-02,104,4
14566178854,2019-12-30,104,4
14566178854,2020-01-27,104,4
14566178854,2020-02-24,104,4
14566178854,2020-03-23,104,4
14566178854,2019-11-18,130,3
14566178854,2019-12-16,130,3
14566178854,2020-01-13,130,3
14566178854,2020-02-10,130,3
14566178854,2020-03-09,130,3
14566178854,2020-04-06,130,3
14566178854,2020-02-24,109,1
14566178854,2020-03-02,109,2
14566178854,2020-03-09,109,3
14566178854,2020-03-16,109,4
14566178854,2020-03-23,109,5
14566178854,2020-03-30,109,6
14566178854,2020-04-06,109,7
14566178854,2020-04-13,109,8
14566178854,2020-02-24,108,1
14566178854,2020-03-09,108,2
14566178854,2020-03-23,108,4
14566178854,2020-04-06,108,6
14566178854,2019-11-04,200,9
14566178854,2019-11-11,200,8
14566178854,2019-11-18,200,7
14566178854,2019-11-25,200,6
14566178854,2019-12-02,200,5
14566178854,2019-12-09,200,4
14566178854,2019-12-16,200,3
14566178854,2019-12-23,200,2
14566178854,2019-12-30,200,1
14566178854,2019-11-04,202,1
14566178854,2019-11-11,202,1
14566178854,2019-11-18,202,1
14566178854,2019-11-25,202,1
14566178854,2019-12-02,202,1
14566178854,2019-12-09,202,1
14566178854,2019-12-16,202,1
14566178854,2019-12-23,202,1
14566178854,2019-12-30,202,1
14566178854,2020-01-06,202,1
14566178854,2020-01-13,202,1
14566178854,2020-01-20,202,1
14566178854,2020-01-27,202,1
14566178854,2020-02-03,202,1
14566178854,2020-02-10,202,1
14566178854,2020-02-17,202,1
14566178854,2020-02-24,202,1
14566178854,2020-03-02,202,1
14566178854,2020-03-09,202,1
14566178854,2020-03-16,202,1
14566178854,2020-03-23,202,2
14566178854,2020-03-30,202,2
14566178854,2020-04-06,202,2
14566178854,2020-04-13,202,2
14566178854,2020-02-17,300,9
14566178854,2020-02-24,300,8
14566178854,2020-03-02,300,7
14566178854,2020-03-09,300,6
14566178854,2020-03-16,300,5
14566178854,2020-03-23,300,4
14566178854,2020-03-30,300,3
14566178854,2020-04-06,300,2
14566178854,2020-04-13,300,1
14566178854,2020-02-24,303,3
14566178854,2020-03-09,303,3
14566178854,2020-03-23,303,3
14566178854,2020-04-06,303,3
14566178854,2020-02-10,304,4
14566178854,2020-02-24,304,4
14566178854,2020-03-09,304,4
14566178854,2020-03-30,304,4
14566177882,2019-11-04,101,1
14566177882,2019-11-11,101,1
14566177882,2019-11-18,101,1
14566177882,2019-11-25,101,1
14566177882,2019-12-02,101,1
14566177882,2019-12-09,101,1
14566177882,2019-12-16,101,1
14566177882,2019-12-23,101,1
14566177882,2019-12-30,101,1
14566177882,2020-01-06,101,1
14566177882,2020-01-13,101,1
14566177882,2020-01-20,101,1
14566177882,2020-01-27,101,1
14566177882,2020-02-03,101,1
14566177882,2020-02-10,101,1
14566177882,2020-02-17,101,1
14566177882,2020-02-24,101,1
14566177882,2020-03-02,101,1
14566177882,2020-03-09,101,1
14566177882,2020-03-16,101,1
14566177882,2020-03-23,101,1
14566177882,2020-03-30,101,1
14566177882,2020-04-06,101,1
14566177882,2020-04-13,101,1
14566177882,2019-11-04,102,2
14566177882,2019-11-18,102,2
14566177882,2019-12-02,102,2
14566177882,2019-12-16,102,2
14566177882,2019-12-30,102,2
14566177882,2020-01-13,102,2
14566177882,2020-01-27,102,2
14566177882,2020-02-10,102,2
14566177882,2020-02-24,102,2
14566177882,2020-03-09,102,2
14566177882,2020-03-23,102,2
14566177882,2020-04-06,102,2
14566177882,2019-11-04,104,4
14566177882,2019-12-02,104,4
14566177882,2019-12-30,104,4
14566177882,2020-01-27,104,4
14566177882,2020-02-24,104,4
14566177882,2020-03-23,104,4
14566177882,2019-11-18,130,3
14566177882,2019-12-16,130,3
14566177882,2020-01-13,130,3
14566177882,2020-02-10,130,3
14566177882,2020-03-09,130,3
14566177882,2020-04-06,130,3
14566177882,2020-02-24,109,1
14566177882,2020-03-02,109,2
14566177882,2020-03-09,109,3
14566177882,2020-03-16,109,4
14566177882,2020-03-23,109,5
14566177882,2020-03-30,109,6
14566177882,2020-04-06,109,7
14566177882,2020-04-13,109,8
14566177882,2020-02-24,108,1
14566177882,2020-03-09,108,2
14566177882,2020-03-23,108,4
14566177882,2020-04-06,108,6
14566177882,2019-11-04,200,9
14566177882,2019-11-11,200,8
14566177882,2019-11-18,200,7
14566177882,2019-11-25,200,6
14566177882,2019-12-02,200,5
14566177882,2019-12-09,200,4
14566177882,2019-12-16,200,3
14566177882,2019-12-23,200,2
14566177882,2019-12-30,200,1
14566177882,2019-11-04,202,1
14566177882,2019-11-11,202,1
14566177882,2019-11-18,202,1
14566177882,2019-11-25,202,1
14566177882,2019-12-02,202,1
14566177882,2019-12-09,202,1
14566177882,2019-12-16,202,1
14566177882,2019-12-23,202,1
14566177882,2019-12-30,202,1
14566177882,2020-01-06,202,1
14566177882,2020-01-13,202,1
14566177882,2020-01-20,202,1
14566177882,2020-01-27,202,1
14566177882,2020-02-03,202,1
14566177882,2020-02-10,202,1
14566177882,2020-02-17,202,1
14566177882,2020-02-24,202,1
14566177882,2020-03-02,202,1
14566177882,2020-03-09,202,1
14566177882,2020-03-16,202,1
14566177882,2020-03-23,202,2
14566177882,2020-03-30,202,2
14566177882,2020-04-06,202,2
14566177882,2020-04-13,202,2
14566177882,2020-02-17,300,9
14566177882,2020-02-24,300,8
14566177882,2020-03-02,300,7
14566177882,2020-03-09,300,6
14566177882,2020-03-16,300,5
14566177882,2020-03-23,300,4
14566177882,2020-03-30,300,3
14566177882,2020-04-06,300,2
14566177882,2020-04-13,300,1
14566177882,2020-02-24,303,3
14566177882,2020-03-09,303,3
14566177882,2020-03-23,303,3
14566177882,2020-04-06,303,3
14566177882,2020-02-10,304,4
14566177882,2020-02-24,304,4
14566177882,2020-03-09,304,4
14566177882,2020-03-30,304,4
